Best parameters found: {'max_depth': 5, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}
media: 0.644  desvio: (+/-0.278)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 2} 
media: 0.692  desvio: (+/-0.202)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 4} 
media: 0.727  desvio: (+/-0.138)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 6} 
media: 0.701  desvio: (+/-0.177)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 8} 
media: 0.728  desvio: (+/-0.138)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 10} 
media: 0.688  desvio: (+/-0.200)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 12} 
media: 0.693  desvio: (+/-0.165)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 14} 
media: 0.701  desvio: (+/-0.095)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 16} 
media: 0.733  desvio: (+/-0.120)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 4, 'min_samples_split': 2} 
media: 0.723  desvio: (+/-0.311)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 4, 'min_samples_split': 4} 
media: 0.706  desvio: (+/-0.246)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 4, 'min_samples_split': 6} 
media: 0.723  desvio: (+/-0.220)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 4, 'min_samples_split': 8} 
media: 0.682  desvio: (+/-0.280)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 4, 'min_samples_split': 10} 
media: 0.708  desvio: (+/-0.092)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 4, 'min_samples_split': 12} 
media: 0.676  desvio: (+/-0.189)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 4, 'min_samples_split': 14} 
media: 0.690  desvio: (+/-0.202)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 4, 'min_samples_split': 16} 
media: 0.681  desvio: (+/-0.086)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 6, 'min_samples_split': 2} 
media: 0.697  desvio: (+/-0.195)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 6, 'min_samples_split': 4} 
media: 0.701  desvio: (+/-0.153)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 6, 'min_samples_split': 6} 
media: 0.697  desvio: (+/-0.132)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 6, 'min_samples_split': 8} 
media: 0.731  desvio: (+/-0.133)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 6, 'min_samples_split': 10} 
media: 0.684  desvio: (+/-0.076)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 6, 'min_samples_split': 12} 
media: 0.680  desvio: (+/-0.216)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 6, 'min_samples_split': 14} 
media: 0.684  desvio: (+/-0.120)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 6, 'min_samples_split': 16} 
media: 0.641  desvio: (+/-0.173)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 8, 'min_samples_split': 2} 
media: 0.721  desvio: (+/-0.141)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 8, 'min_samples_split': 4} 
media: 0.727  desvio: (+/-0.135)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 8, 'min_samples_split': 6} 
media: 0.717  desvio: (+/-0.169)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 8, 'min_samples_split': 8} 
media: 0.685  desvio: (+/-0.144)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 8, 'min_samples_split': 10} 
media: 0.699  desvio: (+/-0.221)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 8, 'min_samples_split': 12} 
media: 0.697  desvio: (+/-0.191)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 8, 'min_samples_split': 14} 
media: 0.687  desvio: (+/-0.143)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 8, 'min_samples_split': 16} 
media: 0.710  desvio: (+/-0.103)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 10, 'min_samples_split': 2} 
media: 0.728  desvio: (+/-0.226)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 10, 'min_samples_split': 4} 
media: 0.680  desvio: (+/-0.160)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 10, 'min_samples_split': 6} 
media: 0.704  desvio: (+/-0.132)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 10, 'min_samples_split': 8} 
media: 0.675  desvio: (+/-0.110)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 10, 'min_samples_split': 10} 
